Mapping parameters for Seriola quinqueradiata (Japanese amberjack),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 25),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Seriola,quinqueradiata,20.75,-156.75,7215:206:4,259,25.41,34.93,191,0,21
Seriola,quinqueradiata,24.25,120.25,1212:140:1,41,24.17,33.75,939,0,24
Seriola,quinqueradiata,25.25,119.75,1211:459:2,22,21.42,33.72,1628,0,25
Seriola,quinqueradiata,27.25,128.25,1212:478:1,505,25.17,34.59,312,0,99
Seriola,quinqueradiata,27.25,142.25,1214:372:1,748,24.41,34.77,296,0,24
Seriola,quinqueradiata,31.25,131.25,1313:111:1,100,23.57,34.59,498,0,22
Seriola,quinqueradiata,31.25,130.25,1313:110:1,236,23.54,34.31,483,0,19
Seriola,quinqueradiata,32.75,129.75,1312:229:4,49,22,34.18,452,0,20
Seriola,quinqueradiata,33.25,133.25,1313:133:1,61,21.59,34.52,481,0,13
Seriola,quinqueradiata,33.25,130.25,1313:130:1,60,21.08,34.18,623,0,6
Seriola,quinqueradiata,34.25,136.25,1313:246:1,64,21.39,34.34,671,0,5
Seriola,quinqueradiata,34.25,135.25,1313:245:1,28,20.73,34.34,504,0,10
Seriola,quinqueradiata,34.25,127.25,1312:247:1,5,18.71,33.58,1191,0,22
Seriola,quinqueradiata,35.25,140.25,1314:350:1,162,20.55,34.52,710,0,10
Seriola,quinqueradiata,35.25,139.25,1313:459:1,421,20.45,34.43,620,0,11
Seriola,quinqueradiata,35.75,139.75,1313:459:4,38,20.45,34.43,629,0,4
Seriola,quinqueradiata,35.75,135.25,1313:455:3,124,19.16,33.79,578,0,15
Seriola,quinqueradiata,36.25,140.75,1314:360:2,150,19.95,34.2,773,0,18
Seriola,quinqueradiata,36.25,136.25,1313:466:1,100,17.09,33.79,695,0,10
Seriola,quinqueradiata,36.25,134.25,1313:364:1,866,17.87,33.86,543,0,89
Seriola,quinqueradiata,39.25,140.25,1314:390:1,29,14.82,33.84,726,0,1
Seriola,quinqueradiata,39.75,127.75,1312:497:4,44,13.45,33.59,983,0,17
Seriola,quinqueradiata,40.25,140.25,1414:100:1,16,13.33,33.84,639,0.00323387,1
Seriola,quinqueradiata,41.25,141.25,1414:111:1,34,12.41,33.34,709,0.01,13
Seriola,quinqueradiata,42.25,141.25,1414:121:1,172,11.96,33.34,781,0.03,20
