Mapping parameters for Sebastes schlegelii (Korean rockfish),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 16),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Sebastes,schlegelii,25.25,119.75,1211:459:2,22,21.42,33.72,1628,0,25
Sebastes,schlegelii,31.25,130.25,1313:110:1,236,23.54,34.31,483,0,19
Sebastes,schlegelii,34.25,127.25,1312:247:1,5,18.71,33.58,1191,0,22
Sebastes,schlegelii,34.25,135.25,1313:245:1,28,20.73,34.34,504,0,10
Sebastes,schlegelii,34.75,134.25,1313:144:3,15,20.48,33.86,448,0,9
Sebastes,schlegelii,34.75,134.75,1313:144:4,13,20.48,33.86,555,0,13
Sebastes,schlegelii,35.75,134.75,1313:354:4,162,19.13,33.86,579,0,14
Sebastes,schlegelii,35.75,134.25,1313:354:3,241,19.13,33.86,539,0,19
Sebastes,schlegelii,36.25,140.75,1314:360:2,150,19.95,34.2,773,0,18
Sebastes,schlegelii,39.75,127.75,1312:497:4,44,13.45,33.59,983,0,17
Sebastes,schlegelii,39.75,140.25,1314:390:3,23,14.82,33.84,687,0,4
Sebastes,schlegelii,39.75,139.75,1313:499:4,273,14.9,33.84,745,0,20
Sebastes,schlegelii,40.75,141.75,1414:101:4,163,12.68,33.34,719,0.02,20
Sebastes,schlegelii,40.75,139.75,1413:209:4,1137,14.18,33.84,610,0,21
Sebastes,schlegelii,42.75,141.75,1414:121:4,58,11.96,33.34,732,0.02,6
Sebastes,schlegelii,43.25,141.25,1414:131:1,62,11.35,34,774,0.04,11
