Species,MaxLengthTL,Troph,K,eco_ind
Salmo salar,150,4.5,0.23,0.5487528344671202
Larimichthys crocea,80,3.72,0.23,0.3693877551020408
Seriola quinqueradiata,150,3.96,0.33,0.5310657596371883
Oncorhynchus kisutch,107.95,4.18,0.1,0.3761507936507937
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571
Pagrus auratus,130,3.59,0.1,0.3
Paralichthys olivaceus,103,3.72,0.15,0.3332199546485261
Sebastes schlegelii,65,3.76,0.09,0.26859410430839
Chanos chanos,219.6,2.4,0.19482758620689655,0.24673078426773007
Thunnus orientalis,333,4.5,0.15,0.6395691609977324
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549
Takifugu rubripes,80,3.6,0.31,0.4047619047619048
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466
Thunnus maccoyii,271.95,3.93,0.14,0.49383786848072564
Sparus aurata,70,3.7,0.28,0.39229024943310664
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716
Oncorhynchus tshawytscha,150,4.4,0.07,0.42403628117913844
Rachycentron canadum,200,3.82,0.31,0.5349206349206349
Pseudocaranx dentex,122,3.92,0.17,0.39365079365079364
Gadus morhua,200,4.09,0.14,0.4621315192743764
Mugil cephalus,122,2.48,0.23,0.20589569160997734
Pagrus pagrus,91,3.86,0.13,0.332312925170068
Acanthopagrus schlegelii,61,3.24,0.14,0.21689342403628123
Hippoglossus hippoglossus,470,4,0.03,0.5873015873015873
Lates calcarifer,200,3.83,0.12,0.4072562358276644
Thunnus thynnus,458,4.45,0.08,0.6832199546485261
Argyrosomus regius,230,4.29,0.12,0.5040816326530613
Trachurus japonicus,50,3.4,0.31,0.34920634920634924
