ECOREGION,n_total,n_introduced,n_native,prod_total,prod_native,prod_introduced,genetic_score
Adriatic Sea,6,1,5,10726.520405117,10724.435530117,2.084875,20.152074683531396
Aegean Sea,6,1,5,189665.0757387,189585.67181084,79.40392786,26.389039013046478
Alboran Sea,4,0,4,13108.81465,13108.81465,0,16.47038620625652
Andaman Sea Coral Coast,1,0,1,82.5771147,82.5771147,0,1.9220873740880808
Arabian (Persian) Gulf,3,3,0,257.50273334999997,0,257.50273334999997,0
Azores Canaries Madeira,2,0,2,6783.591334,6783.591334,0,7.663047386604959
Bahamian,1,0,1,21.66666667,21.66666667,0,1.3553876580504407
Baltic Sea,4,2,2,2420.6166666669997,9.166666667,2411.45,2.014357169282725
Banda Sea,2,1,1,314.70078573,23.24057143,291.4602143,1.3845428533643267
Bassian,1,1,0,38227.8367,0,38227.8367,0
Black Sea,4,2,2,8672.882527556,1565.1914555560002,7107.691072,6.3896897006407425
Celtic Seas,6,1,5,172382.80265203002,169435.13122343,2947.6714286,26.145030132623177
Central Kuroshio Current,7,0,7,212107.2269809,212107.2269809,0,37.28590259589038
Central New Zealand,1,1,0,11113.7,0,11113.7,0
Channels and Fjords of Southern Chile,2,2,0,103491.813,0,103491.813,0
Chiloense,4,4,0,512636.787,0,512636.787,0
East China Sea,17,2,15,274883.009407036,223680.82083703598,51202.18857,80.24446034050759
Eastern Caribbean,2,1,1,61.725,10.125,51.6,1.0463000196529693
Eastern Philippines,2,0,2,51245.8333334,51245.8333334,0,9.419334068886997
Faroe Plateau,2,1,1,67429.9,62078.5,5351.4,4.792948210374561
Gilbert/Ellis Islands,1,0,1,2.333333333,2.333333333,0,0.5228787452369081
Greater Antilles,2,1,1,461,111,350,2.0492180226701815
Guayaquil,1,1,0,17.365,0,17.365,0
Gulf of Maine/Bay of Fundy,2,1,1,21062.813333,21022.813333,40,4.322711491867132
Gulf of Oman,2,2,0,254.18333335,0,254.18333335,0
Gulf of St. Lawrence - Eastern Scotian Shelf,1,0,1,9974.133333,9974.133333,0,3.9989187094113325
Gulf of Thailand,1,0,1,147.7777778,147.7777778,0,2.1725380676375527
Gulf of Tonkin,4,1,3,44132.239271,38633.696304,5498.542967,13.760932508199307
Ionian Sea,5,1,4,7406.40700802,6730.46700802,675.94,15.312438886351456
Lesser Sunda,2,0,2,314.70078573,314.70078573,0,4.998551325569538
Levantine Sea,5,1,4,5441.3527937,5380.8527937,60.5,14.923727258468942
Malacca Strait,5,2,3,2898.317900016,842.668128586,2055.64977143,8.778514928971463
Mascarene Islands,2,2,0,582.3833333,0,582.3833333,0
North American Pacific Fijordland,2,1,1,15339.38,40,15299.38,1.6127838567197355
North Sea,6,1,5,11675.6768039,1206.8488039000001,10468.828,15.410062867859484
Northeastern Honshu,5,0,5,28478.58364544,28478.58364544,0,22.272668179422116
Northern and Central Red Sea,4,3,1,1516.5,19.1,1497.4,1.3031960574204888
Northern Bay of Bengal,1,0,1,82.5771147,82.5771147,0,1.9220873740880808
Northern California,1,1,0,5723.433333,0,5723.433333,0
Northern Grand Banks - Southern Labrador,1,0,1,9974.133333,9974.133333,0,3.9989187094113325
Northern Gulf of Mexico,1,0,1,1424.1,1424.1,0,3.153845340080965
Northern Norway and Finnmark,4,1,3,699000.9068017,685030.0435016999,13970.8633,17.50713075848896
"Oregon, Washington, Vancouver Coast and Shelf",2,1,1,21062.813333,40,21022.813333,1.6127838567197355
Palawan/North Borneo,3,0,3,58.8,58.8,0,5.330103551965232
Panama Bight,1,0,1,73.44833335,73.44833335,0,1.8718549797913497
Puget Trough/Georgia Basin,2,1,1,15339.38,40,15299.38,1.6127838567197355
Scotian Shelf,2,1,1,15339.38,15299.38,40,4.184702217082549
Sea of Japan/East Sea,12,4,8,35381.584005942,28769.932819072,6611.65118687,35.67163154346688
Sea of Okhotsk,1,1,0,2234.275,0,2234.275,0
South and West Iceland,4,1,3,1043.1777777500001,1016.82222219,26.35555556,9.02301578587574
South Australian Gulfs,1,0,1,6797.0632,6797.0632,0,3.832385197799802
South European Atlantic Shelf,7,1,6,14210.318890411,14190.193890411,20.125,24.912113602430445
South India and Sri Lanka,1,0,1,11.647,11.647,0,1.1019875185582992
South Kuroshio,6,0,6,13037.363302853,13037.363302853,0,24.691338468704572
Southern California Bight,1,0,1,4511.347181,4511.347181,0,3.654402506975263
Southern Caribbean,1,0,1,0.116666667,0.116666667,0,0.04792355244682297
Southern China,9,1,8,129917.112909111,102009.301109111,27907.8118,40.069152235974286
Southern Grand Banks - South Newfoundland,1,0,1,9974.133333,9974.133333,0,3.9989187094113325
Southern Gulf of Mexico,1,0,1,147.262375,147.262375,0,2.1710309527608556
Southern Java,2,0,2,314.70078573,314.70078573,0,4.998551325569538
Southern Norway,4,1,3,916820.320357,858267.634657,58552.6857,17.80086972469715
Southern Red Sea,4,3,1,1516.5,19.1,1497.4,1.3031960574204888
Southern Vietnam,1,0,1,1477.333334,1477.333334,0,3.1697723696439315
Southwestern Caribbean,1,0,1,618.98333335,618.98333335,0,2.7923800147701625
Sulawesi Sea/Makassar Strait,3,3,0,51560.53411913,0,51560.53411913,0
Sunda Shelf/Java Sea,2,1,1,314.70078573,291.4602143,23.24057143,2.4660667938876153
Tunisian Plateau/Gulf of Sidra,4,0,4,397.6,397.6,0,10.402149177457876
West Caroline Islands,1,0,1,18.29,18.29,0,1.2853322276438846
Western and Northern Madagascar,2,1,1,88.92,4,84.92,0.6989700043360189
Western Arabian Sea,1,1,0,17,0,17,0
Western Caribbean,1,0,1,121.6714286,121.6714286,0,2.088743422985616
Western Mediterranean,5,0,5,18347.9179833,18347.9179833,0,21.318052297235628
Western Sumatra,2,2,0,314.70078573,0,314.70078573,0
White Sea,1,0,1,2234.275,2234.275,0,3.349330960861952
Yellow Sea,14,3,11,130983.372416477,69201.615744477,61781.756672,53.24134761418545
